principal,total_owing_at_issue,employee_count,total_recovered_on_time,total_recovered_15_dpd,cash_yield_15_dpd,total_paid,payment_count,paid_late
0.026652184810761134,0.027210681163099805,5e-08,0.02975370338648534,0.02975370338648534,0.714640866808925,0.0,0.0,0
0.12273372879939845,0.1296240983288281,5e-08,0.13189939598864966,0.13189939598864966,0.7605295324121072,0.0,0.0,0
0.045734814938591356,0.04579668155139712,0.0006232250774953501,0.04829111708585005,0.04829111708585005,0.7188878990656529,0.0,0.0,0
0.0517169354164926,0.05474992159381114,5e-08,0.0,0.0,0.5697238393171601,0.0,0.0,1
0.047038181970089396,0.047103451365761134,0.0006232250774953501,0.04959447080115291,0.04959447080115291,0.7192815264455448,0.0,0.0,0
0.02748767649761885,0.02833076957541182,0.0006232250774953501,0.030870863713887794,0.030870863713887794,0.7156767283349562,0.0,0.0,0
0.03344473222491436,0.03348317627204707,0.0006232250774953501,0.03600980121993908,0.03600980121993908,0.7152002320329818,0.0,0.0,0
0.14545074776505973,0.1455144192714945,1e-07,0.14774817716673247,0.14774817716673247,0.7482856491744183,0.0,0.0,0
0.09347480992564125,0.09616332382502725,5e-08,0.09852609314138037,0.09852609314138037,0.7402473637324163,0.0,0.0,0
0.05944523351992648,0.05951403097417823,0.0006232250774953501,0.0619726072287721,0.0619726072287721,0.7229484762476952,0.0,0.0,0
0.02066170941599131,0.021102465687958302,5e-08,0.0,0.0,0.6467297851623195,0.0,0.0,0
0.03586765811680174,0.036962917606296386,0.0006232250774953501,0.0394804459704027,0.0394804459704027,0.7188464646046117,0.0,0.0,0
0.0249812014370457,0.02575456622709419,0.0006232250774953501,0.0,0.0,0.6370548385091881,0.0,0.0,1
0.039184560113626865,0.0399946235756209,0.0,0.017926699387051367,0.04250422658990534,0.7190329196792973,0.0,0.0,1
0.0934915197593784,0.09443092041398468,1e-07,0.09679821850166458,0.09679821850166458,0.7353995317905903,0.0,0.0,0
0.05589439385078118,0.056497259517017874,1e-07,0.05896372208030149,0.05896372208030149,0.7233835380886283,0.09433647510217699,0.05,0
0.030829643245049707,0.031773174629250736,1.5e-07,0.034304269786771334,0.034304269786771334,0.7169404793967142,0.0,0.0,0
0.0249812014370457,0.02575456622709419,0.0006232250774953501,0.02830139496086215,0.02830139496086215,0.7147444529615281,0.0,0.0,0
0.0342718689949035,0.03464806822085156,1.5e-07,0.037171647960437634,0.037171647960437634,0.7163811141726574,0.0,0.0,0
0.02424596875261091,0.024268582266760257,5e-08,0.026819295593174898,0.026819295593174898,0.7124448403737388,0.0,0.0,0
0.05589439385078118,0.05596708433519019,5e-08,0.05843493285866433,0.05843493285866433,0.721912614721664,0.0,0.0,0
0.10861391929150305,0.10969399184575636,1.5e-07,0.11202138989640201,0.11202138989640201,0.7402473637324163,0.0,0.0,0
0.06486757456763306,0.06494272614585045,0.0,0.06738711094891599,0.06738711094891599,0.7245644202283039,0.0,0.0,0
0.022892472219901414,0.022909541659821682,1e-07,0.02546380772925992,0.02546380772925992,0.7120304957633263,0.04073972570094015,0.15000000000000002,0
0.014955301194753112,0.014956913932406399,1e-07,0.017531969404702502,0.017531969404702502,0.7096480142534546,0.0,0.0,0
0.24805748182805581,0.2481145178392748,2e-07,0.2500800631567972,0.2500800631567972,0.7785120885040088,0.0,0.0,0
0.03550839669145292,0.03555160620678326,2.5e-07,0.03807282395787561,0.03807282395787561,0.7158217489486005,0.0,0.0,0
0.07531957557022308,0.07751011813199121,5e-08,0.0,0.0,0.5111976630963972,0.0,0.0,0
0.03965243545826719,0.04200331546170044,5e-08,0.0,0.0,0.5996395201889412,0.0,0.0,0
0.022775503383741333,0.023484520378141846,0.0006232250774953501,0.0,0.02603728336399318,0.7139157637407031,0.0,0.0,1
0.005764892639318238,0.006205289804208546,0.0,0.0029790942064065423,0.008326568306906286,0.7081149391949284,0.0,0.0,1
0.06592029409307378,0.06598814199734165,5e-08,0.06842979392115828,0.06842979392115828,0.7248544614555926,0.0,0.0,0
0.12021889882195673,0.1202825609701459,3e-07,0.1225822788581132,0.1225822788581132,0.7408481634175144,0.0,0.0,0
0.13856629626535216,0.13862960916381667,1.5e-07,0.14088136502096538,0.14088136502096538,0.7462553605833973,0.0,0.0,0
0.03740496282061993,0.03853850863961528,1e-07,0.04105191816428215,0.04105191816428215,0.7194058298286685,0.0,0.0,0
0.07024814103099675,0.0703191505249481,5e-08,0.07274948052044776,0.07274948052044776,0.7261389297478713,0.0,0.0,0
0.06411563204946111,0.06418853328156035,5e-08,0.06663488966179834,0.06663488966179834,0.724336530692577,0.10660963025630638,0.05,0
